id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,name,retweet_count,text,tweet_created,tweet_id,tweet_location,user_timezone
5769,Donald Trump,1,Yes,1,Positive,1,Women's Issues (not abortion though),0.6716,SNIPER1776,0,"RT @TexanCat: I am 50 &amp; have never been more proud of a political candidate. TY, @tedcruz. Hope more Americans will soon feel same. #CruzCrâ€¦",07-08-2015 09:43,6.30E+17,"Atlanta, Ga",
759,Rand Paul,1,No,1,Negative,0.6629,None of the above,1,ScorpionsPriest,5,"â€œ@GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate rigged",07-08-2015 09:48,6.30E+17,"Dana Point, CA",Pacific Time (US & Canada)
6534,Ted Cruz,1,Yes,1,Negative,1,None of the above,1,EscapeVelo,8,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chriâ€¦",07-08-2015 09:50,6.30E+17,,
3147,No candidate mentioned,1,Yes,1,Neutral,1,Foreign Policy,0.3508,JJBills14,350,.@ObamaAgenda @BaracksBackers Um..During the #GOPDebate. DERP!,,6.30E+17,"portsmouth ,Rhode Island",
69,Donald Trump,1,Yes,1,Neutral,0.3508,None of the above,1,ancient_echoes,484,RT @greenspaceguy: @TheDailyShow Jon Stewart can feel comfortable w/retirement as #GOPDebate solved all problems(personal &amp; scientific) httâ€¦,,6.30E+17,,Mountain Time (US & Canada)
14943,No candidate mentioned,1,No,1,Positive,1,FOX News or Moderators,1,JustinDGriner,0,"@FoxNews #GOPDebate In the end, impressed with questions and moderators.  Kudos to Fox News.",07-08-2015 09:41,6.30E+17,,
13901,Chris Christie,1,No,1,Neutral,1,None of the above,1,FasterTrader,1,Well played @DIRECTV wasn't sure where FauxNews was to watch the clown show last night #GOPDebate chuckled at V. http://t.co/K2uaFCce5w,,6.30E+17,CA,Pacific Time (US & Canada)
4886,No candidate mentioned,1,Yes,1,Neutral,1,None of the above,0.6966,DavidBloomberg,94,I am hearing about the Fair tax again. #GOPDebate,,6.30E+17,,Mountain Time (US & Canada)
5177,,0.2309,Yes,0.3618,Negative,0.3618,,0.2309,DCSoljaGurl,0,"RT @JoePrich: .@megynkelly  In 2012 you chided @CandyCrowley for ""going from objective moderator to active participant"" #GOPDebate http://tâ€¦",07-08-2015 09:49,6.30E+17,"Houston, Texas",Central Time (US & Canada)
10237,No candidate mentioned,1,No,1,Positive,0.6638,None of the above,1,Goldyvox,3,"RT @StMarysAtLarge: Taking risks with his candidacy last night, #ScottWalker calls #Jesus by name.

It was worth it.

#Courage #GopDebate hâ€¦",07-08-2015 09:43,6.30E+17,,Eastern Time (US & Canada)
2799,Donald Trump,0.7021,Yes,1,Positive,0.7021,FOX News or Moderators,1,SquidMell,0,What a great #GOPDebate ! I think the Republican Party won the whole thing. They have some great candidates!,07-08-2015 09:43,6.30E+17,Georgia,Eastern Time (US & Canada)
2612,No candidate mentioned,0.4444,No,0.6667,Positive,0.3667,None of the above,0.4444,EF517_V2,1,Everyone still talking about what a great job @RealBenCarson did at the #GOPDebate last night. Articulate and very good points made. ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼,07-08-2015 09:44,6.30E+17,Vitae:,Central Time (US & Canada)
